siteID,min,mean,med,max,sd,area_km2
BART,0.29219160383321746,1.5273433469968196,1.302607269658793,3.2682975998913983,0.8675825920881632,1.9102805317785576
BLAN,0.35042921147521583,0.6553996075002156,0.6095974562511066,1.169867598927375,0.2776752033732583,0.16575516088155548
DELA,0.8294735631382846,1.1083019682089221,0.9806243357056087,1.514808005782873,0.3220521795609904,0.3733693959391776
DSNY,0.6894074013523848,4.797255913491052,5.355924717904136,9.698326287114917,2.8084261707021394,10.324589959265966
GRSM,1.8068702486722443,9.164476045319528,9.858406360409417,17.802475087792974,5.068236142059258,53.60240198963461
HARV,0.2897720828464084,3.1887503130805235,2.9781126062064165,5.506163946339906,1.256654880514978,11.221453036718883
JERC,0.3777516273028812,1.2569493935342149,1.0334797659948336,2.3463420748875814,0.6288362330295478,1.8377811330888298
KONA,0.25600897000012246,6.143660745478595,10.71678084314988,11.359308104202926,5.328443172994049,6.679300826964172
KONZ,0.6650209238608635,3.205733017522347,3.0130086539930114,6.634237465505081,1.5145397829990364,12.697848697584524
MLBS,0.4661779730596082,4.85078953144413,5.95988416118099,7.282294360455167,2.5959133565724426,20.006000453457798
NOGP,0.29039091624888846,1.327454628761392,1.3113295335266744,2.6060870529432676,0.674711703710437,1.0951249249539228
OAES,0.25577705055236577,1.5195240979421583,1.1954116382605513,3.108506662984389,0.943081465482559,1.1817391830623987
ORNL,1.8460050225632623,5.903927584619649,5.978668855453805,12.405431422951116,3.0392014649427623,24.79199649980336
OSBS,1.2494612806187897,4.332062609317989,4.591342336332666,7.766614335336836,2.333398283103898,14.929705527209368
SCBI,0.32094239063516206,2.271771305328512,2.258859387859362,4.206743990742969,1.001861408160878,5.423133857982937
SERC,0.3011215482683251,2.1473623637974035,2.3383310161368263,4.063750669978059,1.1865536946938104,4.694364577761844
STEI,0.9697320021117997,3.2498531906410184,3.3602494892632744,5.489472245938581,1.2878380289597902,10.500013799511521
TALL,0.3149176727863217,3.64084140845601,3.802786527194947,6.38860092081598,1.6053398069197662,15.702604521119397
TREE,0.24750163268546355,1.153270922777636,1.222225301236232,2.214076897850573,0.6114222872564765,1.2142350177739767
UKFS,0.2610542378347463,1.2238144308692813,1.2751616462820472,2.2418025007243343,0.63945593830051,0.9570513190931167
UNDE,0.5389354797100389,3.1794715636498543,2.8516127328942997,5.932507601397312,1.6090959843065025,12.78381364511841
WOOD,0.6161275003497695,1.8763518123263776,1.7202768455458133,3.2376779658882606,0.7752007127800928,3.9314552490274983
